topic,regression_label_binary,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
3d printing,0,0.176,0.137,0.412,0.118,0.203,0.176,0.133,0.133,0.267,155,184,339,300-400
3d printing,0,0.302,0.225,0.512,0.171,0.169,0.314,0.105,0.105,0.105,154,184,338,300-400
3d printing,0,0.125,0.125,0.083,0.105,0.113,0.105,0.091,0.136,0.136,76,95,171,100-200
3d printing,0,0.133,0.078,0.233,0.194,0.262,0.226,0.216,0.18,0.324,76,121,197,100-200
3d printing,1,0.214,0.143,0.31,0.122,0.188,0.122,0.225,0.178,0.366,159,151,310,300-400
3d printing,1,0.25,0.26,0.375,0.238,0.273,0.333,0.207,0.126,0.345,132,133,265,250-300
3d printing,1,0.192,0.192,0.346,0.062,0.097,0.062,0.2,0.2,0.3,66,136,202,200-250
3d printing,1,0.362,0.241,0.66,0.187,0.189,0.25,0.313,0.281,0.602,154,142,296,250-300
3d printing,0,0.194,0.172,0.258,0.143,0.183,0.143,0.133,0.144,0.2,131,133,264,250-300
3d printing,0,0.179,0.159,0.239,0.32,0.276,0.48,0.133,0.133,0.133,131,128,259,250-300
3d printing,0,0.197,0.122,0.31,0.214,0.288,0.357,0.264,0.189,0.491,93,159,252,250-300
3d printing,1,0.231,0.197,0.397,0.175,0.18,0.246,0.215,0.164,0.369,162,131,293,250-300
3d printing,1,0.421,0.316,0.974,0.383,0.316,0.638,0.32,0.213,0.64,129,172,301,300-400
3d printing,1,0.241,0.209,0.313,0.121,0.177,0.121,0.187,0.167,0.25,154,150,304,300-400
3d printing,0,0.174,0.145,0.232,0.125,0.159,0.312,0.385,0.295,0.5,133,150,283,250-300
3d printing,0,0.364,0.339,0.509,0.069,0.087,0.069,0.367,0.299,0.571,66,130,196,100-200
3d printing,1,0.222,0.157,0.278,0.075,0.151,0.075,0.206,0.196,0.353,154,133,287,250-300
3d printing,1,0.203,0.181,0.271,0.24,0.249,0.32,0.204,0.177,0.286,100,136,236,200-250
3d printing,0,0.118,0.088,0.088,0.136,0.154,0.136,0.074,0.074,0.074,147,129,276,250-300
3d printing,1,0.235,0.149,0.471,0.145,0.186,0.255,0.185,0.133,0.369,108,170,278,250-300
3d printing,0,0.169,0.15,0.225,0.154,0.195,0.231,0.295,0.219,0.426,153,133,286,250-300
3d printing,1,0.429,0.333,0.714,0.118,0.09,0.235,0.438,0.333,0.75,66,142,208,200-250
3d printing,0,0.16,0.142,0.267,0.113,0.117,0.156,0.274,0.219,0.466,136,153,289,250-300
3d printing,1,0.184,0.193,0.395,0.16,0.098,0.16,0.206,0.157,0.294,136,154,290,250-300
3d printing,1,0.229,0.21,0.371,0.127,0.204,0.19,0.189,0.201,0.34,103,178,281,250-300
3d printing,0,0.26,0.234,0.442,0.16,0.129,0.36,0.161,0.14,0.226,129,147,276,250-300
3d printing,0,0.14,0.14,0.211,0.051,0.075,0.051,0.115,0.128,0.192,66,136,202,200-250
3d printing,0,0.171,0.124,0.257,0.197,0.209,0.262,0.075,0.075,0.113,83,135,218,200-250
3d printing,0,0.194,0.194,0.333,0.196,0.192,0.235,0.235,0.176,0.353,93,184,277,250-300
3d printing,1,0.222,0.176,0.25,0.242,0.202,0.303,0.14,0.117,0.211,154,126,280,250-300
3d printing,1,0.13,0.13,0.286,0.14,0.124,0.105,0.143,0.119,0.214,131,178,309,300-400
3d printing,0,0.25,0.2,0.425,0.302,0.337,0.453,0.182,0.136,0.182,148,178,326,300-400
3d printing,0,0.212,0.172,0.424,0.571,0.381,1.143,0.23,0.142,0.492,70,154,224,200-250
3d printing,1,0.159,0.18,0.317,0.111,0.151,0.222,0.172,0.149,0.31,133,131,264,250-300
3d printing,0,0.262,0.238,0.429,0.059,0.095,0.059,0.182,0.091,0.136,115,148,263,250-300
3d printing,0,0.196,0.209,0.314,0.178,0.167,0.222,0.229,0.19,0.343,83,157,240,200-250
3d printing,1,0.459,0.297,1.0,0.435,0.337,0.783,0.437,0.312,0.844,130,172,302,300-400
3d printing,0,0.148,0.173,0.247,0.122,0.22,0.204,0.2,0.2,0.28,115,178,293,250-300
3d printing,0,0.205,0.162,0.282,0.244,0.235,0.341,0.129,0.108,0.161,142,156,298,250-300
3d printing,1,0.161,0.153,0.253,0.087,0.181,0.13,0.197,0.131,0.328,162,178,340,300-400
3d printing,0,0.143,0.107,0.214,0.118,0.198,0.196,0.118,0.092,0.196,76,133,209,200-250
3d printing,0,0.231,0.162,0.256,0.211,0.24,0.316,0.26,0.225,0.39,146,184,330,300-400
3d printing,0,0.273,0.195,0.506,0.276,0.209,0.379,0.224,0.178,0.362,131,172,303,300-400
3d printing,1,0.286,0.181,0.514,0.27,0.24,0.405,0.269,0.189,0.507,103,154,257,250-300
3d printing,0,0.194,0.194,0.194,0.105,0.216,0.14,0.148,0.074,0.148,69,95,164,100-200
3d printing,1,0.282,0.197,0.615,0.136,0.126,0.227,0.182,0.121,0.291,133,150,283,250-300
3d printing,1,0.184,0.175,0.289,0.167,0.165,0.233,0.254,0.197,0.394,131,154,285,250-300
3d printing,0,0.26,0.223,0.45,0.204,0.191,0.286,0.228,0.186,0.291,142,170,312,300-400
3d printing,0,0.171,0.163,0.268,0.103,0.155,0.103,0.1,0.05,0.1,117,148,265,250-300
3d printing,0,0.171,0.138,0.341,0.125,0.19,0.167,0.282,0.207,0.507,111,170,281,250-300
3d printing,0,0.156,0.139,0.312,0.061,0.104,0.061,0.205,0.205,0.205,134,148,282,250-300
3d printing,0,0.182,0.131,0.394,0.125,0.125,0.125,0.245,0.19,0.408,70,178,248,200-250
3d printing,0,0.274,0.201,0.466,0.217,0.237,0.304,0.349,0.286,0.54,134,140,274,250-300
3d printing,1,0.258,0.194,0.516,0.133,0.199,0.133,0.275,0.183,0.51,111,133,244,200-250
3d printing,0,0.174,0.174,0.174,0.069,0.126,0.103,0.174,0.101,0.261,109,123,232,200-250
3d printing,0,0.203,0.193,0.348,0.276,0.203,0.414,0.109,0.109,0.182,156,140,296,250-300
3d printing,0,0.226,0.204,0.323,0.256,0.253,0.359,0.278,0.241,0.5,66,184,250,200-250
3d printing,0,0.286,0.177,0.612,0.108,0.14,0.108,0.17,0.227,0.34,100,128,228,200-250
3d printing,0,0.243,0.171,0.568,0.118,0.203,0.176,0.182,0.133,0.4,155,170,325,300-400
3d printing,0,0.277,0.209,0.394,0.276,0.243,0.414,0.194,0.151,0.339,142,184,326,300-400
3d printing,0,0.138,0.138,0.276,0.125,0.171,0.25,0.241,0.195,0.448,133,126,259,250-300
3d printing,0,0.382,0.245,0.794,0.057,0.144,0.114,0.195,0.13,0.39,155,172,327,300-400
3d printing,0,0.143,0.181,0.2,0.241,0.209,0.345,0.118,0.176,0.294,156,184,340,300-400
3d printing,0,0.115,0.115,0.115,0.136,0.192,0.136,0.178,0.193,0.356,102,113,215,200-250
3d printing,0,0.115,0.154,0.231,0.085,0.126,0.085,0.061,0.061,0.061,104,155,259,250-300
3d printing,1,0.175,0.152,0.246,0.171,0.216,0.343,0.115,0.09,0.192,133,128,261,250-300
3d printing,1,0.2,0.211,0.333,0.218,0.252,0.327,0.208,0.181,0.333,131,156,287,250-300
3d printing,0,0.253,0.184,0.414,0.213,0.189,0.383,0.254,0.201,0.444,162,172,334,300-400
3d printing,0,0.282,0.188,0.732,0.327,0.331,0.531,0.176,0.147,0.353,131,157,288,250-300
3d printing,0,0.254,0.188,0.394,0.213,0.197,0.298,0.222,0.159,0.444,131,172,303,300-400
3d printing,1,0.2,0.192,0.325,0.333,0.297,0.481,0.129,0.108,0.194,142,126,268,250-300
3d printing,0,0.24,0.187,0.44,0.12,0.177,0.12,0.211,0.175,0.316,100,93,193,100-200
3d printing,0,0.128,0.128,0.128,0.14,0.187,0.14,0.163,0.163,0.286,95,129,224,200-250
3d printing,1,0.321,0.247,0.444,0.219,0.257,0.281,0.156,0.135,0.219,115,154,269,250-300
3d printing,0,0.123,0.072,0.154,0.069,0.156,0.069,0.133,0.111,0.167,76,157,233,200-250
3d printing,1,0.31,0.216,0.648,0.108,0.126,0.108,0.382,0.284,0.735,111,157,268,250-300
3d printing,1,0.205,0.111,0.179,0.125,0.099,0.125,0.103,0.069,0.069,144,148,292,250-300
Big data,1,0.432,0.292,0.852,0.066,0.171,0.066,0.231,0.159,0.477,132,159,291,250-300
Big data,0,0.268,0.22,0.371,0.085,0.181,0.085,0.118,0.098,0.206,159,199,358,300-400
Big data,0,0.222,0.233,0.317,0.14,0.148,0.279,0.172,0.184,0.276,110,164,274,250-300
Big data,1,0.263,0.237,0.5,0.102,0.157,0.169,0.211,0.199,0.386,110,135,245,200-250
Big data,0,0.244,0.211,0.439,0.143,0.2,0.143,0.3,0.217,0.5,82,94,176,100-200
Big data,0,0.133,0.104,0.2,0.178,0.174,0.267,0.208,0.181,0.292,123,149,272,250-300
Big data,1,0.21,0.181,0.358,0.133,0.18,0.133,0.192,0.146,0.301,164,177,341,300-400
Big data,1,0.237,0.175,0.342,0.2,0.199,0.333,0.246,0.236,0.369,120,193,313,300-400
Big data,0,0.122,0.122,0.122,0.24,0.24,0.16,0.111,0.167,0.167,68,168,236,200-250
Big data,1,0.373,0.282,0.678,0.147,0.21,0.088,0.275,0.196,0.51,110,132,242,200-250
Big data,1,0.192,0.119,0.329,0.208,0.176,0.417,0.273,0.192,0.515,150,160,310,300-400
Big data,0,0.229,0.2,0.286,0.125,0.161,0.125,0.25,0.19,0.321,151,164,315,300-400
Big data,1,0.297,0.209,0.495,0.275,0.278,0.575,0.192,0.137,0.411,159,178,337,300-400
Big data,1,0.297,0.225,0.595,0.136,0.23,0.318,0.308,0.231,0.615,163,184,347,300-400
Big data,1,0.238,0.214,0.476,0.233,0.207,0.367,0.192,0.128,0.329,159,163,322,300-400
Big data,1,0.316,0.246,0.526,0.205,0.201,0.205,0.333,0.204,0.556,159,158,317,300-400
Big data,1,0.282,0.196,0.494,0.122,0.154,0.122,0.143,0.143,0.214,193,177,370,300-400
Big data,0,0.129,0.097,0.129,0.174,0.222,0.217,0.138,0.138,0.138,94,166,260,250-300
Big data,1,0.241,0.169,0.337,0.211,0.183,0.211,0.295,0.23,0.492,166,184,350,300-400
Big data,0,0.204,0.177,0.245,0.146,0.197,0.244,0.13,0.13,0.217,30,155,185,100-200
Big data,0,0.24,0.196,0.347,0.118,0.142,0.176,0.259,0.185,0.481,148,163,311,300-400
Big data,0,0.132,0.117,0.154,0.188,0.226,0.312,0.2,0.16,0.16,149,163,312,300-400
Big data,1,0.316,0.237,0.526,0.145,0.189,0.218,0.219,0.156,0.406,126,159,285,250-300
Big data,0,0.156,0.121,0.286,0.25,0.23,0.469,0.182,0.121,0.255,103,205,308,300-400
Big data,0,0.211,0.211,0.379,0.235,0.199,0.424,0.172,0.241,0.31,148,205,353,300-400
Big data,1,0.228,0.169,0.481,0.174,0.238,0.261,0.19,0.106,0.444,146,159,305,300-400
Big data,0,0.16,0.133,0.24,0.291,0.313,0.436,0.095,0.143,0.238,78,138,216,200-250
Big data,0,0.139,0.167,0.139,0.133,0.15,0.133,0.138,0.138,0.172,173,164,337,300-400
Big data,1,0.333,0.248,0.59,0.157,0.154,0.235,0.25,0.25,0.536,123,193,316,300-400
Big data,1,0.208,0.153,0.375,0.208,0.18,0.167,0.267,0.178,0.533,86,150,236,200-250
Big data,0,0.188,0.165,0.235,0.143,0.175,0.095,0.114,0.143,0.114,137,193,330,300-400
Big data,1,0.269,0.239,0.478,0.2,0.224,0.233,0.311,0.222,0.578,110,161,271,250-300
Big data,0,0.222,0.167,0.389,0.191,0.188,0.362,0.189,0.189,0.34,120,148,268,250-300
Big data,1,0.225,0.15,0.366,0.233,0.234,0.419,0.161,0.151,0.323,146,151,297,250-300
Big data,0,0.296,0.189,0.444,0.158,0.178,0.158,0.182,0.182,0.182,167,200,367,300-400
Big data,1,0.149,0.129,0.209,0.136,0.178,0.136,0.185,0.16,0.222,87,174,261,250-300
Big data,0,0.16,0.12,0.4,0.185,0.205,0.296,0.313,0.187,0.688,121,168,289,250-300
Big data,0,0.217,0.161,0.313,0.185,0.179,0.259,0.25,0.187,0.406,135,147,282,250-300
Big data,1,0.159,0.159,0.33,0.178,0.174,0.356,0.282,0.244,0.451,166,193,359,300-400
Big data,0,0.115,0.1,0.184,0.105,0.13,0.105,0.164,0.128,0.274,118,143,261,250-300
Big data,1,0.254,0.169,0.394,0.324,0.263,0.588,0.259,0.148,0.481,158,178,336,300-400
Big data,0,0.211,0.219,0.289,0.323,0.303,0.613,0.3,0.3,0.386,174,164,338,300-400
Big data,0,0.337,0.233,0.554,0.14,0.23,0.175,0.299,0.189,0.537,160,155,315,300-400
Big data,0,0.169,0.158,0.339,0.17,0.165,0.255,0.128,0.128,0.128,103,133,236,200-250
Big data,1,0.247,0.198,0.407,0.211,0.248,0.263,0.25,0.202,0.375,166,163,329,300-400
Big data,0,0.184,0.161,0.345,0.157,0.159,0.118,0.2,0.19,0.371,160,174,334,300-400
Big data,0,0.122,0.122,0.122,0.118,0.162,0.235,0.111,0.111,0.148,89,113,202,200-250
Big data,0,0.228,0.211,0.304,0.059,0.162,0.059,0.203,0.181,0.305,163,193,356,300-400
Big data,0,0.231,0.205,0.436,0.118,0.206,0.353,0.239,0.219,0.358,133,200,333,300-400
Big data,0,0.185,0.144,0.308,0.204,0.198,0.367,0.14,0.14,0.281,123,164,287,250-300
Big data,1,0.229,0.2,0.4,0.125,0.188,0.156,0.208,0.153,0.417,158,177,335,300-400
Big data,0,0.095,0.095,0.095,0.143,0.135,0.179,0.125,0.125,0.125,77,112,189,100-200
Big data,1,0.2,0.178,0.422,0.182,0.183,0.182,0.24,0.187,0.4,146,159,305,300-400
Big data,0,0.146,0.154,0.268,0.19,0.196,0.238,0.303,0.293,0.545,148,135,283,250-300
Big data,1,0.326,0.261,0.457,0.238,0.263,0.405,0.27,0.189,0.432,121,159,280,250-300
Big data,0,0.149,0.156,0.277,0.204,0.198,0.204,0.211,0.167,0.263,174,142,316,300-400
Big data,0,0.212,0.192,0.273,0.203,0.205,0.261,0.182,0.182,0.273,110,120,230,200-250
Big data,0,0.185,0.136,0.37,0.148,0.178,0.111,0.222,0.136,0.37,87,110,197,100-200
Big data,1,0.282,0.204,0.4,0.19,0.228,0.254,0.291,0.218,0.582,135,177,312,300-400
Big data,1,0.235,0.176,0.373,0.246,0.291,0.369,0.3,0.267,0.4,174,205,379,300-400
Big data,0,0.212,0.165,0.424,0.095,0.214,0.167,0.113,0.113,0.113,148,174,322,300-400
Big data,0,0.231,0.197,0.385,0.204,0.229,0.204,0.254,0.222,0.381,110,166,276,250-300
Big data,1,0.434,0.329,0.867,0.115,0.191,0.115,0.4,0.258,0.775,123,159,282,250-300
Big data,1,0.23,0.219,0.393,0.091,0.127,0.091,0.372,0.248,0.744,112,168,280,250-300
Big data,0,0.139,0.145,0.178,0.625,0.403,1.292,0.197,0.197,0.23,149,174,323,300-400
Big data,1,0.273,0.216,0.489,0.19,0.25,0.381,0.3,0.178,0.533,166,178,344,300-400
Big data,1,0.197,0.169,0.31,0.125,0.156,0.125,0.269,0.179,0.507,110,174,284,250-300
Big data,0,0.12,0.08,0.12,0.143,0.175,0.25,0.1,0.1,0.1,109,120,229,200-250
Big data,1,0.294,0.343,0.5,0.213,0.24,0.347,0.351,0.339,0.526,123,121,244,200-250
Big data,1,0.265,0.245,0.382,0.1,0.142,0.2,0.143,0.143,0.179,126,151,277,250-300
Big data,0,0.182,0.147,0.26,0.14,0.188,0.233,0.182,0.158,0.327,133,164,297,250-300
Big data,1,0.184,0.171,0.382,0.185,0.204,0.259,0.167,0.105,0.352,166,146,312,300-400
Big data,0,0.152,0.169,0.304,0.111,0.131,0.111,0.146,0.195,0.146,148,200,348,300-400
Big data,0,0.184,0.167,0.395,0.163,0.21,0.122,0.273,0.167,0.455,155,168,323,300-400
Big data,1,0.179,0.154,0.385,0.094,0.158,0.156,0.23,0.164,0.393,132,166,298,250-300
Big data,0,0.222,0.157,0.389,0.149,0.181,0.362,0.235,0.206,0.412,121,148,269,250-300
Big data,1,0.25,0.214,0.484,0.116,0.189,0.261,0.222,0.167,0.444,132,146,278,250-300
Big data,0,0.172,0.149,0.241,0.093,0.102,0.093,0.196,0.17,0.235,87,129,216,200-250
Big data,1,0.271,0.226,0.508,0.247,0.268,0.438,0.316,0.269,0.561,110,121,231,200-250
Big data,0,0.145,0.097,0.203,0.213,0.234,0.213,0.209,0.159,0.269,164,164,328,300-400
Big data,0,0.192,0.228,0.274,0.233,0.3,0.3,0.323,0.292,0.415,135,164,299,250-300
Big data,0,0.127,0.127,0.152,0.091,0.113,0.091,0.27,0.279,0.324,199,164,363,300-400
Big data,1,0.19,0.19,0.333,0.175,0.248,0.14,0.182,0.158,0.327,126,205,331,300-400
Big data,1,0.187,0.156,0.219,0.133,0.255,0.089,0.115,0.115,0.154,82,174,256,250-300
Big data,0,0.212,0.152,0.333,0.095,0.116,0.095,0.213,0.17,0.468,150,168,318,300-400
Big data,1,0.22,0.19,0.352,0.194,0.199,0.355,0.182,0.095,0.286,159,193,352,300-400
Big data,0,0.229,0.165,0.343,0.182,0.184,0.364,0.172,0.149,0.207,174,159,333,300-400
Big data,0,0.177,0.16,0.228,0.178,0.198,0.267,0.269,0.192,0.5,130,138,268,250-300
Big data,1,0.255,0.216,0.333,0.286,0.288,0.449,0.219,0.156,0.406,135,159,294,250-300
Big data,1,0.344,0.26,0.625,0.25,0.162,0.45,0.326,0.264,0.512,126,163,289,250-300
Big data,1,0.265,0.238,0.51,0.246,0.229,0.386,0.286,0.214,0.5,135,149,284,250-300
Big data,1,0.321,0.226,0.607,0.143,0.217,0.179,0.238,0.175,0.524,126,158,284,250-300
Big data,0,0.193,0.145,0.386,0.1,0.178,0.1,0.185,0.144,0.369,147,193,340,300-400
Big data,1,0.205,0.188,0.41,0.194,0.169,0.226,0.213,0.128,0.468,121,112,233,200-250
Big data,1,0.108,0.144,0.27,0.267,0.259,0.311,0.13,0.101,0.304,146,193,339,300-400
Big data,0,0.288,0.198,0.424,0.241,0.245,0.345,0.345,0.253,0.621,110,110,220,200-250
Big data,1,0.283,0.232,0.565,0.182,0.172,0.273,0.167,0.133,0.367,110,159,269,250-300
Big data,0,0.205,0.205,0.308,0.057,0.1,0.057,0.178,0.178,0.267,69,107,176,100-200
Big data,1,0.237,0.219,0.447,0.233,0.199,0.367,0.157,0.157,0.235,132,193,325,300-400
Big data,1,0.232,0.193,0.58,0.085,0.115,0.085,0.3,0.2,0.6,126,161,287,250-300
Big data,1,0.184,0.202,0.289,0.098,0.172,0.146,0.214,0.131,0.357,126,142,268,250-300
Big data,0,0.19,0.178,0.248,0.23,0.201,0.459,0.178,0.133,0.178,199,205,404,400-500
Big data,1,0.247,0.189,0.346,0.157,0.152,0.196,0.214,0.155,0.214,193,184,377,300-400
Big data,1,0.159,0.167,0.227,0.258,0.217,0.452,0.136,0.136,0.091,132,149,281,250-300
Big data,0,0.2,0.229,0.286,0.208,0.199,0.125,0.175,0.152,0.211,126,137,263,250-300
Big data,0,0.231,0.205,0.308,0.237,0.28,0.407,0.12,0.12,0.12,96,121,217,200-250
Big data,1,0.324,0.343,0.441,0.197,0.193,0.31,0.386,0.339,0.526,123,120,243,200-250
Big data,1,0.4,0.373,0.64,0.082,0.207,0.164,0.164,0.201,0.301,121,177,298,250-300
Big data,1,0.292,0.232,0.517,0.125,0.204,0.208,0.282,0.15,0.451,159,161,320,300-400
Big data,0,0.133,0.111,0.267,0.226,0.231,0.355,0.148,0.123,0.222,103,164,267,250-300
Big data,1,0.277,0.215,0.523,0.08,0.159,0.08,0.197,0.153,0.426,110,164,274,250-300
Big data,1,0.241,0.177,0.313,0.167,0.174,0.25,0.282,0.263,0.366,135,151,286,250-300
Big data,1,0.317,0.22,0.463,0.128,0.155,0.213,0.281,0.198,0.531,164,193,357,300-400
Big data,0,0.129,0.14,0.194,0.163,0.193,0.163,0.091,0.045,0.091,86,174,260,250-300
Big data,1,0.26,0.225,0.442,0.188,0.167,0.219,0.348,0.222,0.638,164,166,330,300-400
Big data,0,0.178,0.178,0.133,0.097,0.151,0.194,0.205,0.205,0.205,84,127,211,200-250
Big data,1,0.289,0.241,0.598,0.258,0.231,0.452,0.383,0.255,0.638,161,205,366,300-400
Big data,0,0.192,0.155,0.356,0.235,0.236,0.353,0.215,0.154,0.431,193,164,357,300-400
Big data,0,0.268,0.187,0.39,0.114,0.139,0.171,0.353,0.275,0.588,148,193,341,300-400
Big data,0,0.167,0.119,0.333,0.222,0.241,0.381,0.192,0.137,0.356,181,158,339,300-400
Big data,0,0.2,0.189,0.4,0.077,0.151,0.077,0.231,0.179,0.462,87,164,251,250-300
Big data,1,0.293,0.231,0.6,0.188,0.218,0.188,0.254,0.19,0.508,123,151,274,250-300
Big data,0,0.174,0.167,0.261,0.13,0.169,0.217,0.243,0.207,0.351,199,193,392,300-400
Big data,0,0.3,0.233,0.35,0.175,0.173,0.14,0.182,0.182,0.182,137,184,321,300-400
Big data,1,0.216,0.216,0.432,0.169,0.211,0.282,0.259,0.185,0.481,121,161,282,250-300
Big data,0,0.107,0.107,0.107,0.226,0.268,0.29,0.163,0.136,0.245,123,115,238,200-250
Big data,0,0.186,0.147,0.349,0.192,0.176,0.154,0.261,0.203,0.464,174,200,374,300-400
Big data,1,0.169,0.158,0.339,0.312,0.308,0.531,0.24,0.16,0.48,86,166,252,250-300
Big data,1,0.296,0.225,0.549,0.122,0.145,0.122,0.28,0.2,0.52,123,163,286,250-300
Big data,0,0.193,0.193,0.41,0.255,0.269,0.436,0.254,0.16,0.423,123,142,265,250-300
Cloud storing,0,0.234,0.173,0.312,0.093,0.152,0.093,0.245,0.177,0.265,110,183,293,250-300
Cloud storing,1,0.414,0.23,0.966,0.218,0.178,0.364,0.549,0.366,1.098,125,140,265,250-300
Cloud storing,0,0.101,0.084,0.278,0.107,0.191,0.107,0.136,0.106,0.318,124,155,279,250-300
Cloud storing,0,0.274,0.265,0.521,0.118,0.095,0.118,0.12,0.12,0.12,144,174,318,300-400
Cloud storing,0,0.114,0.095,0.171,0.462,0.319,0.923,0.176,0.137,0.294,87,124,211,200-250
Cloud storing,0,0.073,0.073,0.109,0.1,0.152,0.1,0.053,0.053,0.053,66,191,257,250-300
