topic,regression_label_binary,regression_label,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
Abortion,1,0.6964285714285714,0.239,0.269,0.448,0.218,0.196,0.327,0.213,0.142,0.298,173,123,296,250-300
Abortion,0,0.3888888888888889,0.132,0.117,0.198,0.16,0.133,0.16,0.127,0.106,0.254,285,123,408,400-500
Abortion,1,0.7678571428571428,0.182,0.121,0.364,0.154,0.212,0.154,0.187,0.104,0.438,75,105,180,100-200
Abortion,0,0.4464285714285714,0.115,0.109,0.212,0.152,0.157,0.242,0.261,0.188,0.391,328,106,434,400-500
Abortion,0,0.3571428571428571,0.2,0.181,0.457,0.123,0.172,0.154,0.267,0.207,0.444,155,106,261,250-300
Abortion,1,0.8035714285714286,0.163,0.136,0.367,0.164,0.154,0.23,0.388,0.32,0.592,158,99,257,250-300
Abortion,1,0.7321428571428572,0.233,0.171,0.512,0.187,0.199,0.187,0.303,0.222,0.667,165,38,203,200-250
Abortion,1,0.7678571428571428,0.423,0.269,0.885,0.196,0.188,0.275,0.231,0.205,0.308,162,83,245,200-250
Abortion,1,0.75,0.12,0.133,0.24,0.241,0.286,0.345,0.138,0.138,0.276,100,71,171,100-200
Abortion,1,0.5714285714285714,0.243,0.153,0.432,0.158,0.174,0.211,0.083,0.125,0.125,207,106,313,300-400
Abortion,1,0.7857142857142857,0.327,0.245,0.653,0.292,0.286,0.5,0.378,0.27,0.811,103,123,226,200-250
Abortion,0,0.4107142857142857,0.2,0.133,0.4,0.057,0.096,0.057,0.222,0.148,0.444,80,23,103,100-200
Abortion,1,0.6071428571428571,0.4,0.333,0.575,0.269,0.26,0.462,0.378,0.27,0.703,100,99,199,100-200
Abortion,1,0.8928571428571428,0.49,0.346,1.0,0.143,0.195,0.286,0.261,0.145,0.609,114,105,219,200-250
Abortion,0,0.4821428571428571,0.306,0.269,0.639,0.098,0.171,0.146,0.412,0.235,0.765,67,45,112,100-200
Abortion,0,0.4107142857142857,0.159,0.138,0.317,0.25,0.254,0.341,0.386,0.316,0.632,169,106,275,250-300
Abortion,1,0.5535714285714286,0.305,0.237,0.475,0.216,0.199,0.324,0.304,0.246,0.478,127,119,246,200-250
Abortion,0,0.375,0.137,0.091,0.247,0.151,0.177,0.151,0.294,0.216,0.529,311,45,356,300-400
Abortion,1,0.6071428571428571,0.286,0.19,0.571,0.211,0.227,0.211,0.333,0.222,0.667,91,38,129,100-200
Abortion,0,0.4285714285714286,0.182,0.152,0.364,0.14,0.218,0.14,0.146,0.114,0.293,76,61,137,100-200
Abortion,0,0.4107142857142857,0.226,0.161,0.419,0.204,0.156,0.245,0.222,0.193,0.4,128,119,247,200-250
Abortion,0,0.5,0.235,0.222,0.392,0.062,0.148,0.062,0.182,0.141,0.424,75,119,194,100-200
Abortion,1,0.5892857142857143,0.286,0.198,0.593,0.087,0.165,0.087,0.213,0.184,0.298,302,123,425,400-500
Abortion,1,0.6785714285714286,0.2,0.152,0.286,0.133,0.132,0.267,0.2,0.178,0.267,123,123,246,200-250
Abortion,1,0.5714285714285714,0.171,0.187,0.317,0.132,0.129,0.132,0.296,0.222,0.593,256,123,379,300-400
Abortion,0,0.4285714285714286,0.196,0.17,0.275,0.229,0.196,0.229,0.293,0.26,0.39,146,97,243,200-250
Abortion,0,0.4642857142857143,0.254,0.169,0.349,0.175,0.222,0.246,0.227,0.167,0.364,126,123,249,200-250
Cloning,0,0.4814814814814815,0.121,0.121,0.152,0.204,0.212,0.367,0.138,0.138,0.172,121,34,155,100-200
Cloning,1,0.75,0.348,0.232,0.696,0.269,0.235,0.299,0.457,0.343,0.8,146,68,214,200-250
Cloning,0,0.4821428571428571,0.073,0.073,0.127,0.171,0.139,0.286,0.185,0.16,0.259,173,34,207,200-250
Cloning,0,0.1607142857142857,0.118,0.092,0.196,0.105,0.148,0.105,0.108,0.108,0.108,201,32,233,200-250
Cloning,0,0.1785714285714285,0.103,0.103,0.051,0.098,0.165,0.098,0.111,0.111,0.111,136,39,175,100-200
Cloning,0,0.2857142857142857,0.174,0.138,0.304,0.093,0.112,0.093,0.185,0.16,0.296,261,68,329,300-400
Cloning,0,0.3392857142857143,0.16,0.133,0.32,0.316,0.279,0.474,0.207,0.207,0.483,163,68,231,200-250
Cloning,0,0.3035714285714285,0.208,0.181,0.25,0.143,0.191,0.143,0.167,0.181,0.292,156,68,224,200-250
Cloning,0,0.4821428571428571,0.229,0.19,0.457,0.125,0.233,0.281,0.0,0.087,0.087,119,68,187,100-200
Cloning,0,0.3571428571428571,0.063,0.042,0.127,0.296,0.311,0.37,0.2,0.133,0.4,233,34,267,250-300
Cloning,0,0.2321428571428571,0.0,0.0,0.0,0.179,0.209,0.25,0.114,0.114,0.114,166,32,198,100-200
Cloning,0,0.4285714285714286,0.055,0.037,0.164,0.231,0.232,0.308,0.133,0.059,0.267,228,32,260,250-300
Cloning,0,0.3392857142857143,0.138,0.115,0.207,0.154,0.229,0.308,0.16,0.16,0.24,161,68,229,200-250
Cloning,0,0.125,0.077,0.077,0.077,0.109,0.147,0.109,0.056,0.056,0.056,196,39,235,200-250
Cloning,0,0.3928571428571428,0.0,0.0,0.0,0.136,0.239,0.169,0.0,0.0,0.0,122,34,156,100-200
Cloning,1,0.6964285714285714,0.087,0.068,0.203,0.174,0.243,0.304,0.207,0.161,0.483,286,34,320,300-400
Cloning,0,0.375,0.125,0.125,0.125,0.246,0.265,0.386,0.065,0.065,0.065,85,34,119,100-200
Cloning,0,0.1607142857142857,0.174,0.174,0.174,0.156,0.208,0.188,0.211,0.105,0.105,66,39,105,100-200
Cloning,0,0.375,0.065,0.065,0.065,0.08,0.167,0.12,0.148,0.148,0.148,95,17,112,100-200
Cloning,0,0.2321428571428571,0.08,0.08,0.08,0.113,0.113,0.113,0.074,0.074,0.074,99,11,110,100-200
Cloning,0,0.4285714285714286,0.068,0.068,0.136,0.0,0.017,0.0,0.194,0.151,0.323,254,17,271,250-300
Cloning,1,0.5178571428571429,0.069,0.069,0.207,0.174,0.138,0.217,0.296,0.247,0.593,97,17,114,100-200
Cloning,0,0.4375,0.093,0.062,0.186,0.182,0.178,0.327,0.17,0.113,0.34,166,22,188,100-200
Cloning,1,0.8928571428571428,0.32,0.267,0.48,0.31,0.293,0.483,0.32,0.267,0.48,54,34,88,<100
Cloning,0,0.5,0.069,0.069,0.069,0.082,0.209,0.082,0.171,0.114,0.171,83,17,100,<100
Cloning,0,0.3571428571428571,0.043,0.043,0.13,0.182,0.204,0.136,0.194,0.194,0.194,211,17,228,200-250
Cloning,1,0.7142857142857143,0.095,0.095,0.19,0.227,0.176,0.318,0.194,0.194,0.323,166,17,183,100-200
Cloning,1,0.7857142857142857,0.062,0.062,0.0,0.3,0.244,0.45,0.308,0.205,0.615,86,11,97,<100
Cloning,0,0.3035714285714285,0.057,0.057,0.143,0.148,0.18,0.185,0.174,0.174,0.174,106,17,123,100-200
Cloning,0,0.3928571428571428,0.078,0.039,0.039,0.136,0.169,0.136,0.167,0.139,0.25,138,30,168,100-200
Cloning,0,0.3392857142857143,0.051,0.051,0.051,0.172,0.176,0.207,0.125,0.125,0.125,286,17,303,300-400
Cloning,0,0.4285714285714286,0.154,0.154,0.154,0.19,0.18,0.286,0.105,0.105,0.105,59,17,76,<100
Cloning,1,0.6071428571428571,0.154,0.154,0.308,0.169,0.178,0.203,0.194,0.194,0.323,88,22,110,100-200
Cloning,0,0.4107142857142857,0.074,0.049,0.148,0.204,0.154,0.286,0.211,0.211,0.421,200,17,217,200-250
Cloning,0,0.4464285714285714,0.114,0.114,0.114,0.23,0.243,0.361,0.143,0.143,0.143,153,30,183,100-200
Cloning,0,0.2037037037037037,0.114,0.114,0.114,0.2,0.203,0.16,0.14,0.14,0.14,105,30,135,100-200
Cloning,1,0.7678571428571428,0.222,0.148,0.444,0.163,0.179,0.163,0.27,0.198,0.486,245,30,275,250-300
Cloning,1,0.5178571428571429,0.207,0.161,0.483,0.154,0.179,0.185,0.167,0.167,0.5,69,30,99,<100
Cloning,1,0.625,0.103,0.069,0.241,0.145,0.203,0.145,0.276,0.184,0.552,256,22,278,250-300
Cloning,1,0.5714285714285714,0.17,0.113,0.34,0.054,0.122,0.108,0.359,0.256,0.769,161,30,191,100-200
Cloning,1,0.6875,0.072,0.056,0.217,0.186,0.179,0.279,0.136,0.136,0.364,346,30,376,300-400
Cloning,1,0.6428571428571428,0.109,0.085,0.182,0.164,0.179,0.131,0.17,0.17,0.255,182,30,212,200-250
Cloning,1,0.5178571428571429,0.25,0.139,0.583,0.222,0.237,0.259,0.25,0.167,0.5,74,30,104,100-200
Cloning,1,0.6964285714285714,0.19,0.127,0.381,0.085,0.126,0.085,0.205,0.171,0.308,212,30,242,200-250
Cloning,1,0.5892857142857143,0.069,0.054,0.161,0.222,0.237,0.296,0.222,0.119,0.4,388,30,418,400-500
Cloning,1,0.5535714285714286,0.109,0.097,0.291,0.259,0.236,0.481,0.387,0.258,0.774,169,30,199,100-200
Cloning,1,0.9107142857142856,0.115,0.09,0.346,0.197,0.196,0.23,0.308,0.239,0.615,186,30,216,200-250
Cloning,0,0.4259259259259259,0.171,0.133,0.4,0.219,0.187,0.312,0.359,0.222,0.769,104,30,134,100-200
Cloning,1,0.8214285714285714,0.462,0.308,0.923,0.316,0.315,0.421,0.222,0.099,0.37,117,30,147,100-200
Cloning,1,0.6785714285714286,0.162,0.126,0.27,0.235,0.21,0.392,0.114,0.114,0.229,136,30,166,100-200
Cloning,1,0.75,0.114,0.076,0.229,0.122,0.136,0.122,0.167,0.139,0.333,224,30,254,250-300
Cloning,0,0.359375,0.242,0.162,0.485,0.16,0.169,0.12,0.333,0.222,0.667,112,30,142,100-200
Cloning,1,0.8392857142857143,0.195,0.13,0.488,0.229,0.253,0.229,0.27,0.198,0.486,179,30,209,200-250
Cloning,1,0.537037037037037,0.094,0.073,0.219,0.122,0.216,0.245,0.238,0.143,0.524,219,30,249,200-250
Cloning,0,0.4107142857142857,0.2,0.156,0.467,0.175,0.247,0.246,0.15,0.117,0.35,91,30,121,100-200
Cloning,1,0.5892857142857143,0.143,0.111,0.333,0.29,0.286,0.464,0.171,0.095,0.4,139,30,169,100-200
Cloning,1,0.8214285714285714,0.13,0.095,0.286,0.271,0.254,0.475,0.136,0.152,0.273,354,30,384,300-400
Cloning,1,0.7142857142857143,0.128,0.077,0.385,0.286,0.227,0.536,0.147,0.118,0.324,199,30,229,200-250
Cloning,0,0.5,0.074,0.058,0.173,0.128,0.22,0.17,0.333,0.222,0.81,206,30,236,200-250
Cloning,1,0.6875,0.133,0.059,0.311,0.28,0.275,0.36,0.085,0.085,0.085,153,30,183,100-200
Cloning,1,0.8035714285714286,0.171,0.133,0.286,0.286,0.277,0.476,0.452,0.366,0.71,140,30,170,100-200
Cloning,0,0.4285714285714286,0.14,0.109,0.326,0.194,0.243,0.29,0.286,0.21,0.743,130,30,160,100-200
Cloning,1,0.7678571428571428,0.127,0.074,0.317,0.308,0.321,0.462,0.2,0.167,0.4,254,30,284,250-300
Cloning,1,0.5892857142857143,0.188,0.125,0.438,0.28,0.29,0.44,0.312,0.187,0.688,133,30,163,100-200
Cloning,1,0.5892857142857143,0.207,0.115,0.483,0.203,0.219,0.271,0.182,0.121,0.424,110,30,140,100-200
Cloning,1,0.7142857142857143,0.178,0.119,0.378,0.261,0.287,0.435,0.216,0.144,0.432,170,30,200,100-200
Cloning,1,0.6607142857142857,0.14,0.07,0.351,0.164,0.235,0.131,0.227,0.136,0.5,261,30,291,250-300
Cloning,1,0.5892857142857143,0.209,0.132,0.442,0.136,0.201,0.136,0.147,0.078,0.324,170,30,200,100-200
Cloning,0,0.3392857142857143,0.171,0.133,0.4,0.229,0.254,0.343,0.2,0.156,0.467,102,30,132,100-200
Cloning,1,0.5178571428571429,0.157,0.105,0.314,0.328,0.286,0.59,0.2,0.167,0.35,186,30,216,200-250
Cloning,1,0.6071428571428571,0.128,0.099,0.298,0.305,0.254,0.475,0.222,0.148,0.389,172,30,202,200-250
Cloning,0,0.4107142857142857,0.214,0.167,0.5,0.207,0.212,0.345,0.2,0.156,0.467,111,30,141,100-200
Cloning,0,0.3035714285714285,0.207,0.161,0.345,0.2,0.253,0.4,0.229,0.133,0.286,110,30,140,100-200
Cloning,0,0.2321428571428571,0.133,0.074,0.311,0.259,0.23,0.519,0.143,0.111,0.333,152,30,182,100-200
Cloning,1,0.6428571428571428,0.186,0.124,0.395,0.286,0.271,0.5,0.178,0.148,0.356,161,30,191,100-200
Abortion,0,0.1071428571428571,0.148,0.148,0.148,0.098,0.064,0.049,0.1,0.1,0.1,44,70,114,100-200
Abortion,0,0.3571428571428571,0.138,0.115,0.115,0.319,0.329,0.435,0.211,0.222,0.281,245,88,333,300-400
Abortion,0,0.4464285714285714,0.168,0.133,0.295,0.203,0.179,0.305,0.145,0.158,0.327,178,210,388,300-400
Abortion,1,0.7321428571428572,0.194,0.172,0.226,0.164,0.182,0.197,0.163,0.163,0.122,87,144,231,200-250
Abortion,1,0.6071428571428571,0.13,0.113,0.208,0.174,0.195,0.174,0.182,0.121,0.121,133,214,347,300-400
Abortion,0,0.3571428571428571,0.172,0.149,0.241,0.061,0.097,0.121,0.125,0.097,0.25,83,148,231,200-250
Abortion,0,0.4821428571428571,0.214,0.19,0.414,0.214,0.201,0.25,0.143,0.143,0.357,122,182,304,300-400
Abortion,0,0.4107142857142857,0.136,0.136,0.136,0.179,0.231,0.214,0.148,0.148,0.148,59,112,171,100-200
Abortion,0,0.3214285714285714,0.157,0.157,0.078,0.206,0.239,0.353,0.1,0.1,0.1,136,85,221,200-250
Abortion,0,0.3928571428571428,0.096,0.083,0.135,0.082,0.125,0.082,0.111,0.111,0.056,153,339,492,400-500
Abortion,1,0.5892857142857143,0.191,0.177,0.255,0.245,0.294,0.327,0.2,0.2,0.36,138,249,387,300-400
Abortion,1,0.5714285714285714,0.132,0.139,0.198,0.208,0.232,0.292,0.213,0.213,0.383,322,116,438,400-500
Abortion,0,0.3571428571428571,0.114,0.114,0.171,0.214,0.235,0.286,0.148,0.148,0.074,67,70,137,100-200
Abortion,0,0.4285714285714286,0.158,0.158,0.158,0.185,0.209,0.185,0.118,0.118,0.118,107,80,187,100-200
Abortion,0,0.2592592592592592,0.128,0.099,0.298,0.15,0.213,0.2,0.118,0.118,0.118,161,44,205,200-250
Abortion,0,0.3392857142857143,0.219,0.135,0.25,0.098,0.135,0.098,0.154,0.115,0.231,157,100,257,250-300
Abortion,1,0.6785714285714286,0.227,0.152,0.318,0.367,0.298,0.612,0.091,0.136,0.136,101,60,161,100-200
Abortion,1,0.5357142857142857,0.188,0.146,0.312,0.227,0.299,0.364,0.258,0.215,0.387,164,98,262,250-300
Abortion,0,0.4285714285714286,0.207,0.192,0.23,0.222,0.237,0.286,0.133,0.178,0.089,132,176,308,300-400
Abortion,0,0.3035714285714285,0.108,0.108,0.108,0.133,0.125,0.222,0.138,0.138,0.138,127,81,208,200-250
Abortion,0,0.2678571428571428,0.14,0.047,0.093,0.0,0.097,0.0,0.095,0.048,0.095,111,95,206,200-250
Abortion,0,0.2142857142857143,0.203,0.164,0.348,0.14,0.144,0.281,0.089,0.089,0.089,92,155,247,200-250
Abortion,0,0.3571428571428571,0.154,0.154,0.154,0.19,0.221,0.381,0.174,0.174,0.174,96,87,183,100-200
Abortion,1,0.537037037037037,0.122,0.163,0.163,0.292,0.305,0.375,0.108,0.108,0.108,79,98,177,100-200
Abortion,0,0.4107142857142857,0.188,0.196,0.259,0.163,0.205,0.245,0.078,0.092,0.157,230,166,396,300-400
Abortion,0,0.4821428571428571,0.082,0.082,0.082,0.182,0.244,0.182,0.075,0.113,0.113,158,86,244,200-250
Abortion,0,0.3392857142857143,0.146,0.146,0.146,0.263,0.273,0.368,0.093,0.14,0.093,96,79,175,100-200
Abortion,0,0.3214285714285714,0.095,0.095,0.095,0.061,0.061,0.061,0.082,0.082,0.082,129,132,261,250-300
Abortion,0,0.4285714285714286,0.189,0.153,0.297,0.203,0.18,0.339,0.231,0.205,0.385,180,119,299,250-300
Abortion,0,0.375,0.174,0.164,0.29,0.098,0.12,0.098,0.127,0.106,0.19,123,140,263,250-300
Abortion,1,0.6071428571428571,0.386,0.337,0.602,0.25,0.207,0.333,0.237,0.237,0.475,134,140,274,250-300
Abortion,0,0.4814814814814815,0.125,0.083,0.125,0.163,0.191,0.245,0.15,0.15,0.1,132,95,227,200-250
Abortion,0,0.3928571428571428,0.152,0.16,0.253,0.069,0.137,0.103,0.17,0.17,0.128,95,190,285,250-300
Abortion,0,0.2857142857142857,0.143,0.152,0.286,0.136,0.177,0.136,0.167,0.13,0.278,64,217,281,250-300
Abortion,0,0.375,0.13,0.217,0.174,0.148,0.131,0.296,0.118,0.118,0.176,105,93,198,100-200
Abortion,0,0.375,0.202,0.165,0.312,0.129,0.034,0.258,0.286,0.208,0.442,298,79,377,300-400
Abortion,0,0.4285714285714286,0.196,0.176,0.333,0.133,0.164,0.133,0.095,0.063,0.19,176,220,396,300-400
Abortion,0,0.2142857142857143,0.2,0.156,0.333,0.264,0.273,0.34,0.138,0.092,0.276,48,102,150,100-200
Abortion,0,0.3214285714285714,0.093,0.093,0.093,0.133,0.111,0.222,0.067,0.067,0.067,177,285,462,400-500
Abortion,0,0.3035714285714285,0.118,0.098,0.176,0.074,0.101,0.074,0.114,0.076,0.229,111,124,235,200-250
Abortion,0,0.4285714285714286,0.169,0.15,0.225,0.178,0.287,0.356,0.227,0.197,0.318,137,184,321,300-400
Abortion,1,0.6071428571428571,0.194,0.157,0.306,0.158,0.201,0.316,0.324,0.252,0.541,220,58,278,250-300
Abortion,0,0.390625,0.184,0.129,0.265,0.218,0.252,0.218,0.14,0.109,0.233,178,214,392,300-400
Abortion,0,0.375,0.172,0.172,0.276,0.217,0.246,0.261,0.154,0.128,0.269,99,134,233,200-250
Abortion,0,0.4629629629629629,0.145,0.145,0.145,0.131,0.148,0.197,0.207,0.207,0.207,67,174,241,200-250
Abortion,0,0.2142857142857143,0.132,0.117,0.154,0.133,0.226,0.133,0.143,0.143,0.214,95,192,287,250-300
Abortion,0,0.2857142857142857,0.138,0.172,0.138,0.385,0.3,0.692,0.196,0.196,0.196,122,127,249,200-250
Abortion,0,0.4107142857142857,0.215,0.144,0.308,0.145,0.173,0.203,0.2,0.173,0.24,66,162,228,200-250
Abortion,0,0.3518518518518518,0.15,0.139,0.267,0.207,0.221,0.276,0.12,0.16,0.12,201,241,442,400-500
Abortion,0,0.4464285714285714,0.18,0.172,0.292,0.085,0.11,0.17,0.071,0.143,0.143,123,252,375,300-400
Abortion,0,0.4642857142857143,0.176,0.167,0.324,0.255,0.278,0.327,0.148,0.148,0.148,86,182,268,250-300
Abortion,0,0.1607142857142857,0.119,0.119,0.119,0.192,0.158,0.231,0.077,0.077,0.077,150,158,308,300-400
Abortion,0,0.4464285714285714,0.097,0.097,0.097,0.103,0.177,0.154,0.108,0.108,0.108,83,215,298,250-300
Abortion,0,0.3333333333333333,0.212,0.204,0.353,0.058,0.113,0.058,0.118,0.157,0.118,186,153,339,300-400
Abortion,1,0.5178571428571429,0.182,0.152,0.182,0.31,0.186,0.414,0.178,0.178,0.089,108,199,307,300-400
Abortion,0,0.2678571428571428,0.184,0.158,0.158,0.182,0.213,0.273,0.185,0.148,0.148,204,80,284,250-300
Abortion,1,0.5535714285714286,0.194,0.172,0.258,0.208,0.211,0.417,0.211,0.211,0.316,192,81,273,250-300
Abortion,0,0.3571428571428571,0.118,0.118,0.118,0.108,0.139,0.108,0.0,0.0,0.0,80,56,136,100-200
Abortion,1,0.5357142857142857,0.206,0.186,0.324,0.154,0.29,0.256,0.255,0.194,0.4,150,106,256,250-300
Abortion,0,0.4821428571428571,0.143,0.179,0.214,0.2,0.196,0.267,0.0,0.0,0.0,75,133,208,200-250
Abortion,0,0.3392857142857143,0.222,0.182,0.384,0.111,0.156,0.111,0.277,0.267,0.523,115,248,363,300-400
Abortion,0,0.4821428571428571,0.116,0.093,0.163,0.075,0.13,0.038,0.14,0.186,0.14,300,129,429,400-500
Abortion,0,0.4285714285714286,0.114,0.119,0.129,0.255,0.262,0.291,0.213,0.213,0.191,250,107,357,300-400
Abortion,0,0.2678571428571428,0.19,0.152,0.305,0.25,0.256,0.321,0.189,0.164,0.264,241,145,386,300-400
Abortion,0,0.4464285714285714,0.241,0.201,0.265,0.162,0.215,0.162,0.082,0.082,0.082,185,136,321,300-400
Abortion,1,0.6785714285714286,0.241,0.195,0.379,0.25,0.287,0.321,0.207,0.195,0.379,107,134,241,200-250
Abortion,0,0.3928571428571428,0.133,0.111,0.178,0.143,0.173,0.143,0.227,0.197,0.318,192,115,307,300-400
Abortion,0,0.375,0.202,0.21,0.315,0.188,0.221,0.25,0.154,0.154,0.192,172,172,344,300-400
Abortion,0,0.5,0.25,0.176,0.472,0.13,0.138,0.217,0.31,0.241,0.517,151,164,315,300-400
Abortion,1,0.5357142857142857,0.169,0.147,0.305,0.2,0.229,0.35,0.0,0.051,0.051,66,175,241,200-250
Abortion,0,0.5,0.246,0.222,0.333,0.179,0.188,0.209,0.217,0.188,0.304,115,107,222,200-250
Abortion,0,0.375,0.148,0.16,0.259,0.19,0.184,0.238,0.053,0.053,0.053,31,176,207,200-250
Abortion,1,0.6071428571428571,0.118,0.118,0.118,0.222,0.22,0.296,0.143,0.143,0.143,193,85,278,250-300
Abortion,1,0.5357142857142857,0.107,0.143,0.143,0.167,0.163,0.25,0.37,0.247,0.519,97,140,237,200-250
Abortion,0,0.4821428571428571,0.209,0.139,0.328,0.128,0.143,0.128,0.2,0.15,0.2,185,139,324,300-400
