,sentence_1,sentence_2
99,"lz granderson: if it has nothing to do with the death penalty, how could it have anything to",the first punishment shouldn't be the death penalty.
100,there are many countries with lower murder rates than the U.S. and no death penalty.,"in the United States, states without the death penalty have consistently lower murder rates."
101,"bob greene: in extreme cases, but only if we can prove the person is guilty. he",only in severe cases where there isn't a doubt that the person is guilty.
102,"aaron carroll: if we don't stop the death penalty now, we will put innocent people","bob greene: if we don't stop the death penalty before we try to fix it, the imperfect"
103,some of the innocent people that have been executed in the u.s. were executed on tues,"people have, and will, be executed even though they are innocent. aaron carroll: people can"
104,Exactly how many innocent people has the death penalty killed?,sally kohn: death penalty should not be used simply because it kills innocent people. she says
105,aaron carroll: innocent people may be sentenced to death. he says it's,"a perfect judiciary system would not sentence innocent people, says dr. edward mcca"
106,"bob greene: death penalty will cost money, but if it cut out some steps it'd be less",a life in jail costs less than the death penalty.
107,bob greene: death penalty is not murder.,bob greene: i'm pro-death penalty because there is no atonement for murder
108,bob greene: we have not seen fact one that even one innocent person has been put to death.,bob greene: we can only guess how many innocents have been put to death. he says the
109,almost nothing is heinous enough to warrant the death penalty.,many people find some crimes heinous enough to warrent the death penalty.
110,murder rates are consistently lower in states that don't have capital punishment. robert martin:,states without the death penalty generally have lower murder rates.
111,"sally kohn: if we continue to allow the death penalty, we are no better than murderers","bob greene: if we execute death penalty, we will not be better than murderers."
112,all in all I believe in the death penalty.,"I believe in the death Penalty, eye for and eye."
113,"lz granderson: if these are indeed comparable, i wouldn't argue for the death penalty",bob greene: death penalty is not murder.
114,death penalty should be allowed as it deters people from committing serious crimes.,death penalty given to those who commit a very serious crime.
115,murder rates are consistently lower in states that don't have capital punishment. robert martin:,aaron carroll: states without the death penalty have much lower murder rates.
116,adam lancaster: innocent people have been killed by the death penalty.,my argument makes it clear that innocent people need not be sentenced to death. the death penalty is unjust because
117,"bob greene: death penalty should be used, but only in extreme cases.","bob greene: death penalty should only be used in extreme cases. he says the accused is, without"
118,bob greene: we shouldn't just kill someone if they commit a crime. he says,capital punishment is killing someone as a punishment for committing.
119,bob greene: if someone commits a crime worthy of the death penalty they should get life sentence,"bob greene: if a person commits murder, they don't deserve to live."
120,killing a person for them killing someone else makes you no better than the executed.,"bob greene: you make it sound as though someone is innocent, of anything, they should be killed."
121,a life seems to be 'a good price' for serious crime.,life in prison just isn't enough for some crimes.
122,"yeah, including the human judgment that says the death penalty is wrong.",bob greene: my conscience says that the death penalty is immoral. he says it's
123,aaron carroll: there has been no conclusive evidence of an innocent person killed by the death penalty,bob greene: innocent people haven't been put to death since 1900. he says there has
124,lz granderson: punishment should be decided by victim or victims family. he says bible doesn't,a family member would want someone to take the death penalty.
125,"bob greene: if they do murder someone, it will most likely be another prisoner. he",killing a person for them killing someone else makes you no better than the executed.
126,the death penalty isn't as effective as a deterent as life sentence.,does the death penalty deter evil more than life in prison?
127,the majority populations of all countries may support the death penalty.,over 40 countries have abolished the death penalty for all crimes since 1990.
128,david rothkopf: we are all potential victims of violent crime. he says there are violent crimes,"death penalty is an archaic and obsolete form of punishment, says cnn's john s"
129,i'm against captial punishment for the reasons that wjim1269 gave. also I think,bob greene: when someone is about to be shot just think what would be happening. he says some
130,"a slaughtering murderer is not given the death penalty, says edward mccaffery",bob greene: what does it say about us as a society if we kill people who reform lives?
131,"bob greene: if we sentence someone to life in prison, we can always free them at a later",bob greene: we've set up a system where death penalty is more expensive than life.
132,"if it must be, then we shall find a way to improve these peoples habits. not kill them","bob greene: save the money...kill this ""bad guy"" for free!"
133,bob greene: i'm not saying that the govenrment should do away with the death penalty,john avlon: you seem to think life in prison is worse than the death penalty.
134,apllied death penalty should not be applied in just any case.,bob greene: i don't think the death penalty is worth it in today's society.
135,bob greene: you're implying that the death penalty is an effective crime deterrent.,"bob greene: i am pro-death penalty, even though studies show it does nothing to de"
136,"a life in prison will never let him kill again, and its cheaper.",can life imprisonment prevent a murderer from killing again?
137,"bob greene: if these are indeed comparable, i wouldn't argue for the death penalty.",aaron carroll: death penalty is an archaic and obsolete form of punishment. he says
138,bob greene: innocent people are convicted in capital punishment cases. he says we shouldn't be,"sally kohn: if we don't stop the death penalty before we try to fix it,"
139,the death penalty does not work because people that murder will not stop and think of the consequences.,"there have been so many cases of people being executed, only to be found innocent."
140,a death penalty isn't much worse than the death sentence.,"death penalty is not a crime, says dr. edward mccaffery."
141,killing someone because of him is quite hypocritical.,letting the family or friends of the victim kill the convicted person might be childish revenge.
142,non-repeat offenders are typically people who committed much smaller crimes. the lesser crimes would never be worthy,"heinous crimes deserve death, but execution erases crime that was committed."
143,"criminals view the death penalty as worse than life imprisonment. at least given the conditions in american prisons,","bob greene: if a criminal wants death, i prefer to be sadistic. he"
144,aaron carroll: you're implying that the death penalty is an effective crime deterrent,bob greene: death penalty is as effective as preventing crime as it is. he says it'
145,eric liu: death penalty is an act of revenge which cannot be undone. he,death penalty doesn't reverse the death of the victim.
146,"bob greene: if a criminal wants death, i prefer to be sadistic. he","if the murderer wants the death penalty, they should be allowed it. but for crimes of passion and"
147,it should have been pretty clear they were guilty.,bob greene: it's also possible for an innocent person to be sentenced to life in prison.
148,do you expect 12 executions per year to deter a murder rate of the above mentioned amount?,robert mccarthy: how many executions are taking place per year? he says
149,the death penalty seems to be the only reason for it.,aaron carroll: death penalty has been very trying time for me. he says i have
150,there are a lot of people who argue against the death penalty on principle. nevertheless the financial benefits are significant,many people argue that the death penalty is not a deterrent.
151,death penalty is lawful (in some states) because majority of people agree to give justice system power to kill.,God gave government authority to use capital punishment to restrain murder.
152,"bob greene: if someone killed my relative, i wouldn't want them killed. he","if I were charged with something that forced me to spend the rest of my life in jail, i would rather"
153,aaron david miller: if death penalty was cheaper than life in prison it would have advantage of,"aaron carroll: life in prison costs more, kills more innocents, has no more advantages"
154,"bob greene: by killing someone who murdered someone, you are just doing the same thing. he says",a criminal has been raping and killing little children. how do you compare the execution of an innocent child
155,murder rate per capita high because capital punishment works. edward mccaffery asks: why,"aaron carroll: if we focused on death penalty in trial, we wouldn't have those costs"
156,murder rate in new york has risen compared to 2009. state without death penalty has higher rate of murder than,the first twenty states with higher murder rates all have the death penalty.
157,aaron carroll: keeping someone in prision for their entire life is less human than the death penalty,does the death penalty deter evil more than life?
158,aaron carroll: death penalty punishes those who have convicted crime of extreme severity. car,aaron carroll: death penalty justified just because killer is convicted. he says it's
159,"government doesn't have the right to take someone's life, even in the case of murder.",bob greene: killing a family for egregious acts doesn't give government right to kill
160,sally kohn: death penalty gives the ability to off killers and murderers. she says,"criminals wouldn't continue their crimes anyway, bob greene says. he says it's not"
161,"the death penalty should be abolished, many argue.",there is no reason to give that person a death penalty.
162,death penalty should only be used when there is undeniable proof against the suspect.,"bob greene: death penalty should be used, but only in extreme cases."
163,john avlon: those against the death penalty ARE FOR ABORTION!,one does not have to witness an execution to be aware.
164,the death penalty is not deterrance for the person executed.,death penalty should not be catagorized as a deterrent.
165,bob greene: people say we shouldn't execute people based on possibility they may be innocent.,"people have, and will, be executed even though they are innocent of the crime."
166,"bob greene: if someone takes the life of another, he should lose his life.",sally kohn: there's no point in letting someone live who doesn't want to live
167,"murder is murder, whether the criminal deserved it or not.",killing murderers is the right thing to do.
168,there is a smaller chance of an innocent person being sent to prison for the rest of their life. he,bob greene: it's also possible for an innocent person to be sentenced to life in prison.
169,bob greene: some innocent people are still sentenced to death. he says there's a,study on deterrent effect of death penalty suggests it's no more effective than life imprisonment. almost every study
170,death penalty doesn't need to serve as a deterrent to crime.,fear of the death penalty could help prevent future crimes.
171,bob greene: we shouldn't just kill someone if they commit a crime. he says,"if somebody is completely innocent and they are executed for a crime they didn't commit, that's"
172,the death penalty is the best possible deterrent for crime.,bob greene: without the death penalty there is absolutely no deterrent from committing heinous crimes
173,life in prison is cheaper than sentencing one to the death penalty.,"sally kohn: without trials and appeals, death penalty cases would be much cheaper. she says"
174,death penalty used as a scapegoat for many who are against executions. christopher,aaron carroll: person who said death penalty should be used for convicted of multiple-burglaries
175,bob greene: i don't support the death penalty for punishing a criminal. he,i do not support the death penalty - but it's not because I feel bad for criminals.
176,aaron carroll: death penalty prevents more crime than life in prison. he says it fulfill,death penalty doesn't need to serve as a deterrent to crime.
177,bob greene: people who murder shouldn't be sentenced to death or spend life in jails.,lz granderson: capital punishment is not a very good argument. he says it frees up
178,the people who are killed are mostly innocent people. those killed by the death penalty are almost certainly guilty of the crime,"fetus should be allowed to be killed simply for existing, while protecting lives of innocent people. murder"
179,"aaron carroll: death penalty is controversial, but prisons should be punishment. he says death",debate about the death penalty rages on.
180,death penalty is not a qualified punishment for.,"aaron carroll: the purpose of the death penalty is not to punish, but to deter further crime"
181,a thorough review finds that death penalty opponents have lied extensively. peter bergen: cessation,aaron carroll: all of the death penalty oppontents are for life in jail.
182,did you study when these people were exonerated?,studies show people are routinely convicted of crimes they never committed. aaron carroll: it'
183,i am advocating life in prison without the option of parole.,john avlon: why do you think most prisoners on death row would choose the death penalty?
184,"one execution can end up costing more than a life sentence. with trials and appeals, one death sentence",bob greene: death penalty costs more than lifetime imprisonment. he says idea that it's cheaper has
185,death penalty is sometimes claimed to save lives through deterrence.,death penalty isn't as effective as a deterent as life sentence.
186,those who murder in cold blood would be more than deserving of death penalty.,aaron carroll: we are all potential victims of violent crime. he says there are violent crimes
187,did you study when these people were exonerated?,aaron carroll: putting people to death is so they can never escape and kill again.
188,"society should punish criminals based on sound rational reasons, says cnn's richard quest.",bob greene: death penalty is because some people can be so dangerous. he says society punishes
189,bob greene: some prisons are actually jails instead of criminal resorts. he says they are,"bob greene: if someone is wrongly convicted of a crime, they can be released."
190,a similar argument has been made for the death penalty.,"the debate question asks ""Should the death penalty be legalized?"""
191,"murder rate per capita is high, but capital punishment doesn't work. robert mcg",murder rate in new york has risen compared to 2009. state without death penalty has higher rate of murder than
192,christopher adams: I do believe in the death Penalty.,"death penalty is similar to ""an eye for an eye, tooth for a tooth"""
193,aaron carroll: any assertion that the death penalty is not deterrent is false.,aaron carroll: your description of death penalty as deterrent is incorrect.
194,evidence was fabricated or what have you. you can't undo the death penalty if it turns out,john sutter: the death penalty has again shown and proved to deter murder. he says
195,the death penalty is already legal.,not sure how the death penalty is more effective.
196,sally kohn: if we impose a guarantueed death penalty on murder,bob greene: death penalty may not deter crime as well as we think it should. he says
197,"bob greene: life in prison is a fine, but we can always free someone if they are innocent","if it must be, then we shall find a way to improve these peoples habits. not kill them"
198,sally kohn: death penalty is useless deterrent of crime. she says threat of death sentence,"bob greene: when someone gets the death penalty, they choose their own fate. he says they commit"
199,"criminals view the death penalty as worse than life imprisonment. at least given the conditions in american prisons,",ed husain: putting somebody in prison for life when they have requested death penalty is cruel
200,"death penalty is an archaic and obsolete form of punishment, says cnn's john s",bob greene: death penalty is not murder.
201,the death penalty is simply a legally imposed punishment given to felons who commit crimes.,death penalty given to those who commit a very serious crime.
202,"most other first-world countries don't have the death penalty, but have lower rates of crime.",the death penalty increased the crime rate.
203,Exactly how many innocent people has the death penalty killed?,adam lancaster: innocent people have been killed by the death penalty.
204,"bob greene: you make it sound as though someone is innocent, of anything, they should be killed.",if someone killed you wouldn't you want them dead?
205,bob greene: as long as we sentence people to life in prison we are also GUARANTEED to,how many people with a life sentence without parole have died an prison?
206,"aaron carroll: if justice system is organized and operated correctly, death penalty should be used.","aaron carroll: death penalty should be used, but only in extreme cases."
207,life in prison is cheaper than sentencing one to the death penalty.,aaron david miller: if death penalty was cheaper than life in prison it would have advantage of
208,hnliches happens to the death penalty?,is it time to end the death penalty?
209,people will tell you that the death penalty kills innocent people.,"fetus should be allowed to be killed simply for existing, says christopher nelson"
210,capital punishment is killing someone as a punishment for committing.,"when someone gets the death penalty, they choose their own fate by committing the crime."
211,have you ever thought that death penalty is also violence?,"bob greene: if you think there shouldn't be a death penalty, you're an idiot"
212,death penalty has deterred at least some people from committing murder.,the death penalty is not murder.
213,death penalty used as a scapegoat for many people who are against executions. edward,"yes, the death penalty should be used as a punishment."
214,bob greene: why kill them if you don't need to? he says it's because,if someone killed you wouldn't you want them dead?
215,"bob greene: if we don't stop the death penalty now, we will put innocent people to death",bob greene: we have not seen fact one that even one innocent person has been put to death.
216,Exactly how many innocent people has the death penalty killed?,some of the innocent people that have been executed in the u.s. have not been identified.
217,aaron carroll: death penalty should not be used simply because it kills innocent people. he,some of the innocent people that have been executed in the u.s. were executed by the government of pak
218,bob greene: it's also possible for an innocent person to be sentenced to life in prison.,how many people with a life sentence without parole have died an prison.
219,the death penalty is not used for what it is supposed to be used.,death penalty should only be used when there is undeniable proof.
220,bob greene: i dont think the death penalty should be apllied in just any case,"if that is the case, I am against Capital Punishment."
221,timothy stanley: two things made me question my position on death penalty. he says,"death penalty should only be used in extreme cases where accused is, without doubt, guilty. bob greene:"
222,"aaron carroll: if you execute thief or give him life imprisonment, that would be","bob greene: if someone takes the life of another, he should lose his life."
223,death penalty has no clear and definite criterion.,death penalty isn't fair.
224,christopher neville: that doesn't ensure that innocent people are not murdered.,bob greene: we will execute innocents with the guilty if we have a death penalty.
225,death penalty is not hateful because he killed someone.,bob greene: Christ forgave the men that unjustly killed him does not conclusiv
226,"one execution can end up costing more than a life sentence. with trials and appeals, one death sentence",life in prison without parole is more effective than execution. and it is cheaper than executing a person for
227,"""central park jogger"" case involved a person who confessed. bob greene: the",only in severe cases where there isn't a doubt that the person is guilty.
228,Firstly there has been no proof that an Innocent man has ever been placed on death row.,aaron carroll: death penalty is an act of revenge which cannot be undone. he says
229,muderer or rapist who is executed will never commit those crimes again. he is permanently deter,"if a criminal were counting on being punished, he wouldn't have done it."
230,bob greene: we hold trials that can determine innocence after execution. he says we don't hold,bob greene: death penalty keeps people from harming society. he says it keeps them from hurting
231,bob greene: innocent people haven't been put to death since 1900. he says there has,bob greene: i don't think the death penalty is worth it in today's society.
232,bob greene: i am not a big proponent of the death penalty.,"bob greene: i have a lot of sympathy for ex-convicts, but he"
233,"aaron carroll: death penalty could be considered, but prisons should be punishment. he says",creator of this debate thinks there should not be a death penalty.
234,aaron carroll: people sentenced to life in prison shouldn't languish in cells.,"bob greene: if the person in question is in prison, they are removed from society"
235,a death penalty case is likely to be appealed as high as it will be taken.,death penalty cases involve a lot of appeals and lawyers are really expensive.
236,putting people to death is an argument so they can never escape and kill again.,"bob greene: what if there were people killing other people, escaping from jail, doing it again etc"
237,"aaron carroll: death penalty is controversial, but prisons should be punishment. he says death","john avlon: he's guilty, but i'm against the death penalty"
238,"preventing the death of more humans isn't idiocy, says john sutter.","the death penalty keeps people from harming society, says adam scott. he says it keeps"
239,bob greene: death is a much kinder sentence than life in prison. he says if,people who care about you will suffer more if you die than are tortured.
240,murder rates are consistently lower in states that don't have capital punishment.,states without the death penalty have consistently lower murder rates.
241,a third degree murder doesn't seem to have been put to death.,"third degree murder is not a new charge, but it's been dropped."
242,states without the death penalty generally have lower murder rates.,states without the death penalty have consistently lower murder rates.
243,there are many people on this earth who don't deserve to live.,Einige people should not have to right to live on earth.
244,aaron carroll: states without the death penalty have much lower murder rates. carmark: state without,states without the death penalty have consistently lower murder rates.
245,the death penalty is a penalty...a punishment.,is it time to end the death penalty?
246,states without the death penalty generally have lower murder rates.,aaron carroll: states without the death penalty have much lower murder rates.
247,"the death penalty should be abolished, there are many reasons.",sally kohn: is it time to end the death penalty?
248,a life sentence and death penalty would have prevented further murders. christopher neville:,a life sentence does not prevent homicide.
249,"aaron carroll: if we can't prevent the innocent from unjust punishment, we should not",bob greene: how about we stop a penalty that has executed innocents?
250,eye for an eye won't make the whole world blind if the person never took the eye in the first place,eye for an eye makes the whole world blind.
251,aaron carroll: killing innocents is not going to take away innocent lives anymore. he says,"killer is dead, but he is not going to take away innocent lives."
252,"murder rates are generally lower in those states. eliminating the death penalty makes more sense, says dr.",states without the death penalty generally have lower murder rates.
253,bob greene: death penalty is not murder.,"bob greene: death penalty is not murder, but i am personally against it. he says"
254,can life imprisonment prevent a murderer from killing again?,a life sentence does not prevent homicide again.
255,there are many countries with lower murder rates than the U.S. and no death penalty.,states without the death penalty generally have lower murder rates.
256,"bob greene: ""Jesus Christ told us point blank that capitol punishment was downright evil"" he","Jesus Christ told us that capitol punishment was downright evil. but he said it was a ""downright"
257,there are many countries with lower murder rates than the U.S. and no death penalty.,aaron carroll: states without the death penalty have much lower murder rates.
258,aaron carroll: if i were victim of murder I would not desire the death penalty.,bob greene: death penalty is not murder.
259,the death penalty is not used for what it is supposed to be used.,"yes, the death penalty should be used as punishment."
260,death penalty is sometimes claimed to save lives through deterrence.,many people argue that the death penalty is not a deterrent.
261,abortion does not qualify as state murder like the death penalty.,many countries that ban the death penalty allow abortion as if killing a killer is worse than killing an innocent life
262,the death penalty is the only acceptable answer in this case.,the only question is whether or not any risk of executing an innocent is acceptable.
263,a crime can be convicted and sent to death if it is not acted upon. an innocent person,people who commit bad crimes shouldn't be allowed to suffer in prison.
264,bob greene: i do not see any moral difference between locking up an innocent person for 60 years.,bob greene: why do you consider locking someone in a cage for the rest of their life punishment?
265,mudkipz: many people would prefer the death penalty of life in jail. he says many would,"55% of people would prefer the death penalty to life in jail. on blurtit.com, a"
266,living in jail for life costs less than the death penalty.,"morality aside, no evidence of deterrence aside the death penalty costs more than life imprisonment. l"
267,aaron carroll: we seem to have more compassion for the victims of murderers. he says,"sally kohn: if we fail to execute murderers, we have allowed the killing of innocent victims"
268,timothy stanley: death penalty not more effective than life imprisonment in deterring murder.,mudkipz: many people would prefer the death penalty of life in jail. he says many would
269,bob greene: you are probably going to murder somebody. he says you will probably get what you deserve,bob greene: why would you want the death penalty invoked because you're worried about a mass murder
270,murder rate per capita is high. daniel treisman: capital punishment works (deterrent,aaron carroll: the death penalty does not deter murder rates.
271,"sally kohn: if death penalty deters murder, why does Europe have a lower murder rate",aaron carroll: if the execution rate decreased and the murder rate increased then that explains the de
272,so long as innocent people are killed for crimes they didn't commit then the system must be sound.,government has no right to kill people.
