topic,regression_label_binary,regression_label,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
DP,0,0.5714285714591836,0.4,0.267,0.8,0.194,0.188,0.323,0.533,0.356,1.067,71,86,157,100-200
DP,1,0.6428571428112244,0.302,0.201,0.604,0.245,0.232,0.286,0.263,0.158,0.579,174,88,262,250-300
DP,0,0.3571428571887755,0.303,0.222,0.545,0.146,0.176,0.171,0.258,0.215,0.516,77,64,141,100-200
DP,0,0.5714285714591836,0.333,0.238,0.619,1.0,0.714,1.857,0.327,0.23,0.618,96,102,198,100-200
DP,0,0.1428571429183673,0.245,0.15,0.408,0.222,0.208,0.311,0.25,0.183,0.45,91,146,237,200-250
DP,0,0.5000000001071427,0.43,0.287,0.886,0.146,0.114,0.244,0.436,0.291,0.873,112,321,433,400-500
DP,0,0.1428571429183673,0.35,0.283,0.65,0.227,0.228,0.318,0.286,0.222,0.476,71,61,132,100-200
DP,1,0.6428571428112244,0.282,0.216,0.507,0.379,0.323,0.586,0.458,0.347,0.875,148,167,315,300-400
DP,1,0.6428571428112244,0.314,0.229,0.6,0.111,0.178,0.111,0.618,0.473,1.127,112,186,298,250-300
DP,0,0.2857142858367347,0.522,0.348,1.043,0.227,0.208,0.409,0.489,0.311,1.022,89,76,165,100-200
DP,0,0.5714285714591836,0.182,0.121,0.364,0.231,0.189,0.385,0.2,0.167,0.4,83,55,138,100-200
DP,0,0.1428571429183673,0.233,0.171,0.419,0.222,0.173,0.37,0.191,0.149,0.404,69,133,202,200-250
DP,0,0.1428571429183673,0.241,0.149,0.517,0.245,0.226,0.245,0.182,0.152,0.455,164,78,242,200-250
DP,1,0.6428571428112244,0.278,0.204,0.611,0.154,0.181,0.154,0.158,0.123,0.368,64,67,131,100-200
DP,0,0.5714285714591836,0.356,0.267,0.711,1.0,0.714,1.857,0.435,0.319,0.957,140,70,210,200-250
DP,0,0.1428571429183673,0.133,0.133,0.222,1.0,0.714,1.857,0.146,0.114,0.244,138,66,204,200-250
DP,1,0.714285714377551,0.557,0.361,1.148,0.089,0.119,0.089,0.623,0.404,1.279,84,91,175,100-200
DP,1,1.0,0.4,0.25,0.9,0.308,0.307,0.423,0.333,0.206,0.714,93,73,166,100-200
DP,1,1.0,0.541,0.396,0.973,0.36,0.273,0.44,0.571,0.405,1.071,110,161,271,250-300
DP,1,0.6428571428112244,0.385,0.231,0.846,0.218,0.192,0.364,0.392,0.235,0.863,58,78,136,100-200
DP,1,0.6428571428112244,0.4,0.248,0.857,0.098,0.12,0.098,0.333,0.206,0.714,62,88,150,100-200
DP,1,0.7857142857295918,0.444,0.272,0.963,0.25,0.288,0.333,0.478,0.261,1.0,122,119,241,200-250
DP,0,0.5714285714591836,0.37,0.222,0.815,0.286,0.299,0.333,0.238,0.143,0.619,125,64,189,100-200
DP,0,0.2857142858367347,0.357,0.214,0.786,0.053,0.128,0.211,0.526,0.386,1.053,44,63,107,100-200
DP,0,0.5714285714591836,0.303,0.202,0.606,0.077,0.112,0.077,0.475,0.316,0.949,89,157,246,200-250
DP,0,0.5714285714591836,0.474,0.333,0.895,0.338,0.328,0.451,0.474,0.333,0.895,64,73,137,100-200
DP,1,1.0,0.51,0.34,1.059,0.364,0.301,0.582,0.5,0.346,1.038,103,67,170,100-200
DP,1,1.0,0.643,0.452,1.214,0.576,0.463,0.983,0.767,0.544,1.433,129,66,195,100-200
DP,1,0.9285714286479592,0.545,0.364,1.273,0.327,0.289,0.545,0.545,0.364,1.273,45,51,96,<100
DP,0,0.2142857142704081,0.438,0.271,0.938,0.136,0.166,0.136,0.41,0.273,0.821,86,44,130,100-200
DP,0,0.4285714285408163,0.526,0.316,1.158,0.136,0.157,0.227,0.556,0.333,1.222,98,72,170,100-200
DP,1,0.9285714286479592,0.491,0.34,1.019,0.308,0.266,0.538,0.533,0.356,1.133,103,72,175,100-200
DP,0,0.3571428571887755,0.41,0.239,0.923,0.776,0.531,1.51,0.298,0.213,0.553,74,123,197,100-200
DP,1,0.8571428570816325,0.444,0.281,0.978,0.05,0.128,0.1,0.625,0.423,1.232,82,109,191,100-200
DP,0,0.3571428571887755,0.485,0.323,0.97,0.115,0.14,0.154,0.256,0.154,0.564,54,81,135,100-200
DP,0,0.4285714285408163,0.32,0.16,0.52,0.067,0.073,0.067,0.56,0.453,0.96,150,65,215,200-250
DP,0,0.1428571429183673,0.308,0.231,0.615,0.241,0.235,0.31,0.2,0.2,0.48,170,87,257,250-300
DP,1,0.8571428570816325,0.41,0.308,0.821,0.113,0.18,0.151,0.222,0.123,0.519,59,62,121,100-200
DP,1,0.9285714286479592,0.4,0.267,0.8,1.0,0.714,1.857,0.267,0.178,0.533,77,56,133,100-200
DP,1,0.9285714286479592,0.538,0.41,1.0,0.828,0.552,1.655,0.462,0.333,0.923,122,106,228,200-250
DP,0,0.2857142858367347,0.149,0.129,0.299,0.192,0.246,0.231,0.24,0.187,0.4,195,82,277,250-300
DP,0,0.1428571429183673,0.235,0.216,0.5,0.246,0.264,0.281,0.327,0.245,0.612,141,170,311,300-400
DP,1,0.8571428570816325,0.383,0.298,0.723,0.169,0.163,0.305,0.432,0.36,0.757,126,59,185,100-200
DP,0,0.5714285714591836,0.333,0.238,0.81,1.0,0.714,1.857,0.389,0.278,0.778,92,77,169,100-200
DP,0,0.5714285714591836,0.28,0.2,0.52,1.0,0.714,1.857,0.333,0.222,0.519,130,102,232,200-250
DP,0,0.2142857142704081,0.337,0.249,0.602,0.235,0.249,0.353,0.357,0.262,0.643,190,170,360,300-400
DP,0,0.2857142858367347,0.394,0.263,0.697,0.133,0.159,0.133,0.419,0.295,0.791,154,143,297,250-300
DP,0,0.2857142858367347,0.273,0.212,0.455,0.222,0.21,0.311,0.464,0.369,0.821,115,152,267,250-300
DP,0,0.2142857142704081,0.275,0.2,0.475,0.179,0.25,0.143,0.316,0.269,0.456,117,120,237,200-250
DP,0,0.1428571429183673,0.233,0.194,0.419,0.091,0.172,0.136,0.4,0.267,0.8,166,169,335,300-400
DP,0,0.2142857142704081,0.339,0.22,0.758,0.227,0.218,0.318,0.256,0.205,0.462,66,156,222,200-250
DP,0,0.5714285714591836,0.385,0.269,0.731,0.105,0.129,0.211,0.531,0.408,0.939,88,134,222,200-250
DP,0,0.5714285714591836,0.4,0.311,0.667,0.203,0.195,0.339,0.279,0.217,0.558,66,80,146,100-200
DP,1,0.6428571428112244,0.39,0.26,0.878,0.218,0.286,0.255,0.327,0.218,0.653,86,102,188,100-200
DP,0,0.2857142858367347,0.295,0.25,0.5,0.129,0.092,0.387,0.379,0.241,0.655,196,161,357,300-400
DP,0,0.1428571429183673,0.151,0.113,0.302,0.302,0.266,0.453,0.186,0.109,0.233,136,107,243,200-250
DP,0,0.1428571429183673,0.444,0.333,0.889,0.776,0.531,1.51,0.294,0.216,0.529,46,51,97,<100
DP,0,0.2142857142704081,0.217,0.145,0.304,0.195,0.186,0.293,0.154,0.154,0.256,73,99,172,100-200
DP,0,0.2142857142704081,0.324,0.225,0.618,0.062,0.076,0.062,0.292,0.208,0.625,147,183,330,300-400
DP,0,0.1428571429183673,0.242,0.19,0.484,0.105,0.182,0.105,0.2,0.144,0.5,201,122,323,300-400
DP,0,0.3571428571887755,0.226,0.151,0.484,1.0,0.714,1.857,0.346,0.244,0.808,88,143,231,200-250
DP,0,0.4285714285408163,0.182,0.152,0.364,0.269,0.241,0.423,0.258,0.215,0.452,150,58,208,200-250
DP,0,0.5714285714591836,0.274,0.228,0.493,0.308,0.298,0.538,0.298,0.241,0.553,122,176,298,250-300
DP,0,0.5714285714591836,0.4,0.267,0.708,0.143,0.178,0.143,0.187,0.187,0.187,134,179,313,300-400
DP,1,0.714285714377551,0.367,0.256,0.7,0.087,0.114,0.087,0.458,0.319,0.875,90,125,215,200-250
DP,0,0.2142857142704081,0.159,0.148,0.286,0.111,0.177,0.111,0.195,0.114,0.293,126,126,252,250-300
DP,0,0.1428571429183673,0.516,0.344,1.032,0.163,0.196,0.163,0.432,0.288,0.865,101,61,162,100-200
DP,0,0.3571428571887755,0.197,0.188,0.338,0.308,0.273,0.538,0.189,0.189,0.264,150,117,267,250-300
DP,0,0.4285714285408163,0.308,0.256,0.527,0.121,0.081,0.242,0.204,0.177,0.327,140,181,321,300-400
DP,0,0.5714285714591836,0.281,0.198,0.594,0.069,0.171,0.138,0.492,0.339,0.951,143,86,229,200-250
DP,0,0.1428571429183673,0.182,0.172,0.424,0.182,0.205,0.182,0.281,0.234,0.456,106,158,264,250-300
DP,0,0.1428571429183673,0.167,0.153,0.375,0.19,0.203,0.19,0.262,0.219,0.459,91,78,169,100-200
DP,0,0.5000000001071427,0.426,0.251,0.951,0.316,0.27,0.561,0.387,0.258,0.903,150,76,226,200-250
DP,0,0.2857142858367347,0.302,0.189,0.679,0.426,0.343,0.754,0.28,0.2,0.6,159,59,218,200-250
DP,0,0.5714285714591836,0.277,0.174,0.585,0.108,0.118,0.108,0.444,0.346,0.889,136,152,288,250-300
DP,1,0.9285714286479592,0.391,0.261,0.696,0.242,0.267,0.303,0.292,0.208,0.542,94,133,227,200-250
DP,0,0.4285714285408163,0.281,0.219,0.5,0.231,0.223,0.385,0.3,0.244,0.6,166,99,265,250-300
DP,0,0.2857142858367347,0.519,0.37,1.111,1.0,0.714,1.857,0.32,0.267,0.64,61,55,116,100-200
DP,0,0.5714285714591836,0.449,0.299,0.939,0.286,0.282,0.357,0.356,0.222,0.889,97,82,179,100-200
DP,0,0.1428571429183673,0.308,0.256,0.462,0.192,0.226,0.192,0.2,0.2,0.2,60,69,129,100-200
DP,0,0.5714285714591836,0.435,0.319,0.783,0.245,0.218,0.408,0.364,0.242,0.909,60,59,119,100-200
DP,0,0.5000000001071427,0.214,0.143,0.429,0.151,0.186,0.151,0.278,0.167,0.611,186,78,264,250-300
DP,0,0.2142857142704081,0.218,0.158,0.291,0.103,0.142,0.103,0.522,0.362,0.87,76,114,190,100-200
DP,0,0.5000000001071427,0.35,0.283,0.6,0.074,0.112,0.074,0.267,0.222,0.467,94,67,161,100-200
DP,1,0.6428571428112244,0.27,0.198,0.541,0.12,0.158,0.16,0.372,0.264,0.744,158,179,337,300-400
DP,0,0.1428571429183673,0.222,0.148,0.444,0.296,0.268,0.444,0.194,0.172,0.355,84,139,223,200-250
DP,0,0.4285714285408163,0.412,0.333,0.647,0.167,0.193,0.375,0.437,0.354,0.812,64,75,139,100-200
DP,0,0.1428571429183673,0.264,0.214,0.415,0.161,0.185,0.226,0.267,0.252,0.489,54,176,230,200-250
DP,1,0.7857142857295918,0.353,0.235,0.765,0.776,0.531,1.51,0.25,0.133,0.5,59,104,163,100-200
DP,0,0.5000000001071427,0.453,0.327,0.868,0.14,0.21,0.14,0.383,0.241,0.809,89,125,214,200-250
DP,0,0.1428571429183673,0.333,0.238,0.619,0.113,0.166,0.113,0.4,0.3,0.7,90,145,235,200-250
DP,0,0.5714285714591836,0.524,0.333,1.095,0.286,0.271,0.381,0.5,0.333,1.0,78,83,161,100-200
DP,0,0.5714285714591836,0.213,0.16,0.373,0.162,0.19,0.324,0.213,0.156,0.383,233,64,297,250-300
DP,0,0.1428571429183673,0.194,0.172,0.409,0.182,0.192,0.182,0.321,0.286,0.536,121,185,306,300-400
DP,0,0.2857142858367347,0.256,0.154,0.436,0.136,0.204,0.136,0.245,0.163,0.49,150,233,383,300-400
DP,0,0.1428571429183673,0.2,0.133,0.44,0.129,0.086,0.258,0.229,0.152,0.457,158,89,247,200-250
DP,1,0.6428571428112244,0.258,0.258,0.581,0.269,0.311,0.385,0.167,0.13,0.389,61,82,143,100-200
DP,0,0.4285714285408163,0.387,0.258,0.817,0.095,0.174,0.095,0.275,0.17,0.667,244,197,441,400-500
DP,0,0.4285714285408163,0.227,0.152,0.364,0.053,0.077,0.053,0.195,0.163,0.341,103,107,210,200-250
DP,0,0.2142857142704081,0.158,0.105,0.316,0.14,0.134,0.093,0.133,0.133,0.133,60,199,259,250-300
DP,0,0.5714285714591836,0.286,0.204,0.531,0.105,0.138,0.105,0.308,0.236,0.554,134,110,244,200-250
DP,0,0.5714285714591836,0.19,0.127,0.476,1.0,0.714,1.857,0.25,0.146,0.625,72,126,198,100-200
DP,0,0.5000000001071427,0.375,0.264,0.708,1.0,0.714,1.857,0.208,0.139,0.292,96,130,226,200-250
DP,0,0.1428571429183673,0.292,0.222,0.542,0.121,0.141,0.242,0.19,0.159,0.286,103,88,191,100-200
DP,0,0.5000000001071427,0.273,0.192,0.576,0.061,0.086,0.061,0.369,0.246,0.738,113,174,287,250-300
DP,0,0.1428571429183673,0.203,0.158,0.373,0.171,0.16,0.286,0.34,0.302,0.604,111,113,224,200-250
DP,0,0.2142857142704081,0.154,0.103,0.308,0.208,0.213,0.333,0.25,0.194,0.417,55,65,120,100-200
DP,0,0.3571428571887755,0.156,0.135,0.281,0.364,0.301,0.582,0.226,0.215,0.419,91,150,241,200-250
DP,0,0.5714285714591836,0.333,0.222,0.667,0.208,0.188,0.375,0.25,0.167,0.5,51,87,138,100-200
DP,1,0.714285714377551,0.429,0.286,0.857,1.0,0.714,1.857,0.533,0.415,0.978,78,70,148,100-200
DP,0,0.1428571429183673,0.255,0.242,0.436,1.0,0.714,1.857,0.25,0.19,0.393,90,137,227,200-250
DP,0,0.1428571429183673,0.229,0.133,0.343,0.776,0.531,1.51,0.308,0.205,0.615,71,62,133,100-200
DP,0,0.5000000001071427,0.296,0.198,0.593,0.269,0.311,0.385,0.444,0.296,0.889,145,109,254,250-300
DP,0,0.1428571429183673,0.2,0.15,0.317,0.214,0.213,0.357,0.246,0.199,0.386,115,117,232,200-250
DP,0,0.2857142858367347,0.23,0.164,0.426,0.214,0.229,0.214,0.379,0.264,0.724,200,91,291,250-300
DP,0,0.2857142858367347,0.227,0.174,0.5,0.1,0.202,0.1,0.258,0.14,0.645,201,143,344,300-400
DP,0,0.2142857142704081,0.286,0.171,0.743,1.0,0.714,1.857,0.524,0.365,1.0,102,44,146,100-200
DP,1,0.8571428570816325,0.471,0.314,1.059,0.205,0.137,0.41,0.4,0.222,0.933,135,72,207,200-250
DP,0,0.4285714285408163,0.407,0.271,0.814,1.0,0.714,1.857,0.333,0.206,0.714,117,65,182,100-200
DP,1,0.6428571428112244,0.571,0.333,1.286,0.194,0.194,0.194,0.5,0.292,1.125,62,74,136,100-200
DP,0,0.1428571429183673,0.387,0.301,0.774,0.367,0.326,0.567,0.238,0.175,0.429,87,50,137,100-200
DP,0,0.5000000001071427,0.372,0.217,0.791,0.292,0.295,0.375,0.326,0.202,0.698,104,90,194,100-200
DP,1,0.9285714286479592,0.381,0.254,0.889,0.386,0.349,0.596,0.667,0.484,1.216,156,82,238,200-250
DP,0,0.5714285714591836,0.414,0.276,0.828,0.353,0.299,0.588,0.426,0.255,0.936,89,143,232,200-250
DP,0,0.2142857142704081,0.2,0.167,0.7,1.0,0.714,1.857,0.556,0.333,1.222,49,47,96,<100
DP,0,0.1428571429183673,0.235,0.147,0.529,0.178,0.216,0.133,0.256,0.222,0.462,94,233,327,300-400
DP,0,0.3571428571887755,0.412,0.294,0.765,0.192,0.21,0.269,0.25,0.167,0.5,81,91,172,100-200
DP,0,0.2857142858367347,0.27,0.162,0.595,0.178,0.196,0.222,0.27,0.162,0.595,91,65,156,100-200
DP,0,0.1428571429183673,0.294,0.216,0.647,1.0,0.714,1.857,0.167,0.056,0.5,87,44,131,100-200
DP,0,0.1428571429183673,0.462,0.308,0.923,0.241,0.248,0.414,0.308,0.205,0.615,90,53,143,100-200
DP,0,0.2142857142704081,0.364,0.283,0.727,0.25,0.286,0.214,0.267,0.207,0.533,61,50,111,100-200
DP,0,0.5714285714591836,0.442,0.327,0.75,0.091,0.161,0.091,0.569,0.42,1.017,110,89,199,100-200
DP,0,0.5000000001071427,0.357,0.262,0.643,0.163,0.152,0.163,0.294,0.255,0.529,62,58,120,100-200
DP,1,0.6428571428112244,0.286,0.152,0.514,0.143,0.189,0.25,0.321,0.214,0.571,88,58,146,100-200
DP,1,0.714285714377551,0.407,0.259,0.852,1.0,0.667,2.0,0.378,0.234,0.811,179,90,269,250-300
DP,0,0.3571428571887755,0.293,0.195,0.585,0.163,0.184,0.163,0.333,0.244,0.6,69,97,166,100-200
DP,0,0.2142857142704081,0.323,0.237,0.581,0.308,0.298,0.538,0.158,0.175,0.316,66,52,118,100-200
DP,0,0.2142857142704081,0.261,0.203,0.5,0.062,0.165,0.062,0.321,0.226,0.607,84,109,193,100-200
DP,0,0.2142857142704081,0.226,0.204,0.452,0.15,0.183,0.1,0.449,0.34,0.776,160,76,236,200-250
DP,0,0.1428571429183673,0.4,0.293,0.72,0.143,0.235,0.214,0.4,0.267,0.8,59,49,108,100-200
DP,1,0.714285714377551,0.222,0.185,0.444,0.17,0.164,0.255,0.489,0.37,0.933,67,132,199,100-200
DP,0,0.1428571429183673,0.346,0.231,0.577,0.158,0.158,0.105,0.293,0.26,0.39,99,124,223,200-250
DP,0,0.5000000001071427,0.254,0.218,0.544,0.118,0.158,0.078,0.299,0.233,0.632,134,85,219,200-250
DP,0,0.3571428571887755,0.278,0.204,0.528,0.125,0.194,0.167,0.132,0.079,0.289,87,73,160,100-200
DP,0,0.2857142858367347,0.24,0.187,0.4,0.14,0.203,0.14,0.205,0.222,0.359,87,150,237,200-250
DP,0,0.2142857142704081,0.176,0.147,0.412,0.154,0.236,0.103,0.167,0.167,0.25,140,146,286,250-300
